Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/P06/current/UVLT/,SDN:P06::UVLT,Volts,V,Unavailable,1,false,1994-12-22 00:00:00.0
http://vocab.nerc.ac.uk/collection/P06/current/USEC/,SDN:P06::USEC,Microseconds,us,A time interval of one millionth of a second.,2,false,2014-05-06 09:19:27.0
http://vocab.nerc.ac.uk/collection/P06/current/UPBB/,SDN:P06::UPBB,Millibars,mBar,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/UMES/,SDN:P06::UMES,MicroEinsteins per square metre per second,uE/m^2/s,Unavailable,1,false,2003-11-05 15:13:12.0
http://vocab.nerc.ac.uk/collection/P06/current/HPAX/,SDN:P06::HPAX,Hectopascals,hPa,A pressure of one hundred Newtons per square metre (100 Pascals).  Equivalent to a millibar.,1,false,2014-05-27 11:29:50.0
http://vocab.nerc.ac.uk/collection/P06/current/UVP5/,SDN:P06::UVP5,Volts multiplied by 100000,V*10^5,Voltage expressed as volts scaled by multiplying by one hundred thousand.,1,false,2016-01-13 22:35:54.0
http://vocab.nerc.ac.uk/collection/P06/current/PWAV/,SDN:P06::PWAV,Picowatts per square centimetre per litre,pW/cm^2/l,The power (scaled by 10^-12) per SI unit of area (scaled by 10^-4) produced per SI unit of volume (scaled by 10^-3).,2,false,2015-01-08 13:47:10.0
http://vocab.nerc.ac.uk/collection/P06/current/NMCH/,SDN:P06::NMCH,Nanomoles per cubic centimetre per hour,nmol/cm^3/h,Unavailable,1,false,2015-11-26 18:56:55.0
http://vocab.nerc.ac.uk/collection/P06/current/USCM/,SDN:P06::USCM,MicroSiemens per centimetre,uS/cm,One part per 10^6 (million) of the SI derived unit of electrical conductivity divided by 10^2 parts of the SI base unit of length.,2,false,2022-12-02 16:16:59.0
http://vocab.nerc.ac.uk/collection/P06/current/UDTM/,SDN:P06::UDTM,yyyymmddhh24miss.dd,Date+Time,Unavailable,1,false,1999-12-10 10:28:49.0
http://vocab.nerc.ac.uk/collection/P06/current/EQPL/,SDN:P06::EQPL,Equivalents per litre,Equiv/l,The amount of substance or substances in a litre of solution that will react with one gram of hydrogen.,1,false,2015-12-10 15:31:32.0
http://vocab.nerc.ac.uk/collection/P06/current/UPHI/,SDN:P06::UPHI,phi units,phi units,"Logarithm to the base 2 of a length, generally sediment grain diameter, in millimetres as devised by Krumbein (1936).",2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/USVD/,SDN:P06::USVD,Sverdrup,Sv,One Sverdrup is a million cubic metres per second or a million cumecs.,2,false,2014-02-04 12:49:44.0
http://vocab.nerc.ac.uk/collection/P06/current/UWBQ/,SDN:P06::UWBQ,Microbecquerels per kilogram,uBq/kg,One radioactive disintegration per hundred thousand seconds from an SI standard unit of mass of sample.,1,false,2016-10-06 16:20:14.0
